fq_name,count
kotlin.js.Date,77
kotlin.math.roundToLong,22
java.lang.reflect.Constructor,9
kotlin.test.assertNotEquals,54
org.junit.Before,1649
kotlin.reflect.KMutableProperty0,22
kotlin.test.AfterTest,31
kotlin.test.BeforeTest,120
kotlin.test.fail,102
kotlin.test,1230
kotlin.time.DurationUnit,35
kotlin.time.measureTime,27
kotlin.native.concurrent.ThreadLocal,11
platform.Foundation.NSThread,7
kotlinx.cinterop.StableRef,7
kotlin.native.concurrent.ensureNeverFrozen,4
kotlin.native.concurrent.freeze,27
co.touchlab.stately.concurrency.Lock,4
co.touchlab.stately.concurrency.withLock,4
kotlin.system.getTimeNanos,2
kotlin.native.concurrent.TransferMode,4
kotlin.native.concurrent.Worker,7
org.junit.rules.TestRule,36
org.junit.runner.Description,59
org.junit.runners.model.Statement,34
org.junit.rules.TestWatcher,22
org.junit.Rule,968
org.mockito.Mockito,107
org.junit.Assert.fail,63
org.junit.Assert.assertEquals,895
org.junit.Assert.assertNotEquals,34
org.mockito.BDDMockito.given,11
org.junit.FixMethodOrder,8
org.junit.runners.MethodSorters,8
org.mockito.BDDMockito,4
junit.framework.TestCase.assertNotNull,3
org.junit.jupiter.api.extension.BeforeEachCallback,21
org.junit.jupiter.api.extension.ExtensionContext,38
org.junit.jupiter.api.AfterEach,138
org.junit.jupiter.api.extension,10
org.junit.jupiter.api.Assertions,112
org.junit.jupiter.api.DisplayName,185
org.junit.jupiter.api.Test,2490
org.junit.jupiter.api.extension.RegisterExtension,44
android.content.ComponentCallbacks,8
androidx.annotation.LayoutRes,134
androidx.activity.ComponentActivity,44
kotlin.properties.ReadOnlyProperty,51
kotlin.reflect.KProperty,201
androidx.fragment.app.FragmentFactory,8
androidx.annotation.IdRes,74
androidx.fragment.app.FragmentTransaction,7
androidx.fragment.app.viewModels,196
androidx.fragment.app.createViewModelLazy,2
androidx.savedstate.SavedStateRegistryOwner,16
org.junit.Assert.assertTrue,610
org.mockito.Mockito.mock,58
androidx.navigation.NavBackStackEntry,7
androidx.navigation.fragment.findNavController,195
androidx.work.ListenableWorker,37
androidx.work.Configuration,24
androidx.work.DelegatingWorkerFactory,3
androidx.work.WorkManager,66
androidx.work.WorkerFactory,16
androidx.work.WorkerParameters,82
org.gradle.api.Plugin,115
org.gradle.api.UnknownTaskException,6
org.gradle.api.tasks.testing.Test,25
io.mockk.mockkClass,4
io.mockk.verifySequence,9
org.junit.experimental.categories.Category,15
kotlinx.coroutines.async,175
kotlinx.coroutines.runBlocking,546
kotlinx.android.synthetic.main.mvp_activity,2
