package,count
io.horizontalsystems.hdwalletkit,4
retrofit2.adapter,32
androidx.biometric,70
io.horizontalsystems.feeratekit,2
coil.load,40
coil.annotation,11
com.unstoppabledomains,1
androidx.core.splashscreen,5
io.reactivex.functions,34
pub,2
io.reactivex.Scheduler,10
io.reactivex.internal,5
android.security,14
com.opencsv,6
com.nhaarman.mockitokotlin2,2604
io.ktor.jackson,3
com.github.appintro,10
com.android.colorpicker,2
com.android.datetimepicker,8
kotlin.browser,33
org.kodein,181
com.facebook.stetho,26
coil.transform,14
org.amshove,351
com.intellij.codeHighlighting,21
com.jetbrains.rider,42
com.jetbrains.python,4
com.goide,2
com.jetbrains.cidr,62
com.intellij.sh,2
com.jetbrains.php,4
com.intellij.sql,6
com.jetbrains.lang,6
com.intellij.application,61
org.jdesktop,5
POGOProtos,34
com.corundumstudio,3
ink,51
io.netty.util,36
com.squareup.okhttp,3
type,37
kotlinx.android.parcel,44
rx.subjects,141
com.aghajari,2
com.trello,8
rx.subscriptions,9
com.jakewharton.rxbinding,18
com.stripe,42
com.facebook.AccessToken,1
com.facebook.share,5
rx.Subscriber,2
com.appboy,3
com.braze,9
rx.functions,4
com.perimeterx,3
rx.Scheduler,2
com.segment,7
com.optimizely,2
fragment,5
rx.Notification,9
rx.observers,60
net.danlew,1
com.jakewharton.processphoenix,2
com.karumi,22
org.mockserver,46
io.reactivex.Completable,63
android.arch,36
com.dicedmelon,2
com.jfrog,8
org.jmailen,7
posidon,133
androidx.palette,28
io.posidon,20
com.pixplicity,2
com.intellij.packageDependencies,4
com.thoughtworks,15
com.intellij.cloudConfig,1
com.intellij.DynamicBundle,7
com.mikepenz.fastadapter,48
com.mikepenz.aboutlibraries,10
com.mikepenz.materialdrawer,72
ru,15
com.mikepenz.crossfader,14
com.mikepenz.crossfadedrawerlayout,4
com.mikepenz.iconics,140
coil.clear,2
mozilla.components.support,1386
mozilla.components.concept,1033
mozilla.components.browser,1740
mozilla.components.lib,411
mozilla.components.feature,948
mozilla.components.service,449
mozilla.telemetry,111
mozilla.components.ui,42
mozilla.appservices,99
org.mozilla,100
android.accessibilityservice,6
mozilla.components.compose,22
android.speech,20
androidx.interpolator,23
androidx.paging,543
com.adjust,9
leakcanary,10
tools,11
com.android.resources,12
com.android.SdkConstants,42
com.eden,83
strikt,202
clog,54
com.google.inject,78
com.copperleaf,39
org.asciidoctor,15
net.sourceforge,3
io.github.classgraph,14
org.atteo,1
org.python,1
com.openhtmltopdf,5
io.bit3,4
com.univocity,4
com.moandjiezana,4
org.opentest4j,10
kotlin.Comparator,3
com.hiya,1
org.gradle.testing,12
androidx.test.internal,5
com.anyascii,1
com.intellij.diff,1
com.intellij.mock,9
org.eclipse.jgit,186
com.google.protobuf,51
io.sentry,30
org.jetbrains.spek,601
com.ericsson,391
gnu,18
com.intellij.lexer,58
com.intellij.terminal,4
com.intellij.compiler,7
com.intellij.packaging,1
com.intellij.projectImport,6
com.intellij.platform,13
com.intellij.conversion,8
org.jetbrains.jps,11
com.intellij.usageView,71
com.intellij.refactoring,224
com.intellij.extapi,67
com.intellij.serviceContainer,18
com.intellij.reference,2
com.intellij.xdebugger,156
com.intellij.analysis,3
com.intellij.diagnostic,11
com.intellij.find,30
com.intellij.patterns,161
com.intellij.CommonBundle,3
com.intellij.spellchecker,37
com.intellij.usages,39
org.junit.ComparisonFailure,11
com.intellij.javascript,19
com.intellij.framework,18
com.intellij.history,2
com.intellij.webcore,3
TemplateLintUtil,1
com.dmarcotte,12
com.intellij.json,94
org.jetbrains.yaml,10
com.intellij.testIntegration,1
com.intellij.xml,9
android.opengl,62
java.nio.IntBuffer,4
javax.microedition,26
java.nio.ByteOrder,20
java.nio.FloatBuffer,8
cnames,1
javafx.event,23
javafx.scene.canvas,17
javafx.scene.input,22
javafx.geometry,16
javafx.scene.text,31
javafx.scene.shape,28
javafx.scene.layout,23
javafx.scene.image,13
javafx.scene.paint,23
javafx.application,41
javafx.embed,6
javafx.scene.Group,12
javafx.scene.Scene,9
javafx.stage,31
org.testfx,2
javafx.scene.transform,4
javafx.animation,5
javafx.util,3
Stats,1
com.google.api,219
com.android.builder,2
com.android.ddmlib,36
com.google.auth,15
com.supercilex,1
io.github.gradlenexus,2
org.apache.logging,117
com.gatehill,7
redis,1
com.jayway,74
retrofit2.Call,65
com.sun,70
retrofit2.Callback,22
io.vertx,42
javax.websocket,9
org.glassfish,1
io.github.rosariopfernandes,4
com.canhub,4
androidx.dynamicanimation,7
com.onesignal,1
app,53
retrofit2.HttpException,56
com.zlagi,2
com.upokecenter,9
COSE,2
org.bouncycastle,14
com.github.fge,13
com.robinhood,3
javafx.scene.SnapshotParameters,2
javafx.scene.Node,9
Python,4
org.apache.batik,36
javafx.scene.Cursor,1
javafx.scene.Parent,6
javafx.collections,1
javafx.beans,8
kotlin.Double,25
retrofit2.create,2
com.chuckerteam,32
org.brotli,2
io.reactivex.rxjava3,2109
retrofit2.CallAdapter,16
retrofit2.Converter,19
com.bumptech.glide.annotation,8
com.bumptech.glide.module,8
autodispose2,19
com.jakewharton.rxbinding4,11
org.koin.java,7
com.apurebase,12
at,35
org.koin.ktor,1
Library,75
kotlin.Result,19
javax.lang,67
com.squareup.javapoet,150
javax.tools,3
kotlin.annotation,85
Version,37
Plugin,7
com.github.tomakehurst,122
io.ktor.network,2
io.netty.channel,132
io.netty.handler,120
