user,repo
trixdade,https://github.com/trixdade/ITMO-Advanced-NLP
trixdade,https://github.com/trixdade/ITMO-algorithms
trixdade,https://github.com/trixdade/ITMO-Machine-Learning-Technologies
trixdade,https://github.com/trixdade/ITMO-Methods-and-models-for-data-analysis
trixdade,https://github.com/trixdade/ITMO-Parallel-algorithms
trixdade,https://github.com/trixdade/KMVP
trixdade,https://github.com/trixdade/mp2-lab1-set
trixdade,https://github.com/trixdade/mp2-lab2-matrix
trixdade,https://github.com/trixdade/mp2-lab3-arithmetic
trixdade,https://github.com/trixdade/mp2-lab4-polinoms
trixdade,https://github.com/trixdade/Probability-Theory
trixdade,https://github.com/trixdade/RayTracing
trixdade,https://github.com/trixdade/UNN_practice
zer0deck,https://github.com/vandosik/M-M-MSA
zer0deck,https://github.com/zer0deck/BaldErDash
zer0deck,https://github.com/zer0deck/MLBM_Tclassifiers
zer0deck,https://github.com/zer0deck/MLT
zer0deck,https://github.com/zer0deck/nlp
zer0deck,https://github.com/zer0deck/parallel_algorithms
zer0deck,https://github.com/zer0deck/py_algorithms
jrzkaminski,https://github.com/ITMO-NSS-team/BAMT
jrzkaminski,https://github.com/jrzkaminski/algorithm-analysis-homeworks
jrzkaminski,https://github.com/jrzkaminski/anlp-homeworks
jrzkaminski,https://github.com/jrzkaminski/BAMT
jrzkaminski,https://github.com/jrzkaminski/mandmmsa
jrzkaminski,https://github.com/jrzkaminski/openmp-mpi-Homeworks
jrzkaminski,https://github.com/jrzkaminski/sparsebndata
vvbark,https://github.com/vvbark/algorithms-2021-labs
vvbark,https://github.com/vvbark/hh-api-analysis
vvbark,https://github.com/vvbark/machine-learning-technologies
vvbark,https://github.com/vvbark/parallel-algorithms
vvbark,https://github.com/vvbark/vvbark
