,project_name,ext,count
264,electricitymap#electricitymap-contrib,.ico,1
265,electricitymap#electricitymap-contrib,.webp,72
266,electricitymap#electricitymap-contrib,.gif,75
267,electricitymap#electricitymap-contrib,.psd,1
268,electricitymap#electricitymap-contrib,.geojson,1
269,electricitymap#electricitymap-contrib,.jsx,74
270,electricitymap#electricitymap-contrib,.scss,18
271,electricitymap#electricitymap-contrib,.ejs,1
272,electricitymap#electricitymap-contrib,.sh,1
273,electricitymap#electricitymap-contrib,.typed,2
274,electricitymap#electricitymap-contrib,.sample,12
275,electricitymap#electricitymap-contrib,.pack,1
276,electricitymap#electricitymap-contrib,.idx,1
277,electricitymap#electricitymap-contrib,.pkl,1
278,electricitymap#electricitymap-contrib,.htm,2
279,electricitymap#electricitymap-contrib,.traineddata,1
280,electricitymap#electricitymap-contrib,.bk,1
281,torrvision#crayon,.md,6
282,torrvision#crayon,.yml,1
283,torrvision#crayon,,48
284,torrvision#crayon,.py,8
285,torrvision#crayon,.sh,1
286,torrvision#crayon,.rockspec,1
287,torrvision#crayon,.lua,2
288,torrvision#crayon,.sample,12
289,vmware#vsphere-automation-sdk-python,.cfg,3
290,vmware#vsphere-automation-sdk-python,.md,28
291,vmware#vsphere-automation-sdk-python,.yml,1
292,vmware#vsphere-automation-sdk-python,,16
293,vmware#vsphere-automation-sdk-python,.py,223
294,vmware#vsphere-automation-sdk-python,.txt,2
295,vmware#vsphere-automation-sdk-python,.sample,12
296,vmware#vsphere-automation-sdk-python,.pack,1
297,vmware#vsphere-automation-sdk-python,.idx,1
298,vmware#vsphere-automation-sdk-python,.yaml,1
299,vmware#vsphere-automation-sdk-python,.json,2
300,vmware#vsphere-automation-sdk-python,.wsdl,2
301,vmware#vsphere-automation-sdk-python,.ova,1
302,vmware#vsphere-automation-sdk-python,.iso,2
303,vmware#vsphere-automation-sdk-python,.vmdk,2
304,vmware#vsphere-automation-sdk-python,.ovf,2
305,vmware#vsphere-automation-sdk-python,.html,10
306,vmware#vsphere-automation-sdk-python,.whl,9
307,jeffknupp#sandman2,.py,25
308,jeffknupp#sandman2,,87
309,jeffknupp#sandman2,.yml,3
310,jeffknupp#sandman2,.ini,1
311,jeffknupp#sandman2,.sh,2
312,jeffknupp#sandman2,.md,2
313,jeffknupp#sandman2,.rst,7
314,jeffknupp#sandman2,.in,1
315,jeffknupp#sandman2,.txt,1
316,jeffknupp#sandman2,.sqlite3,5
317,jeffknupp#sandman2,.html,5
318,jeffknupp#sandman2,.sample,12
319,bmaslakov#kotlin-algorithm-club,.bat,1
320,bmaslakov#kotlin-algorithm-club,.yml,1
321,bmaslakov#kotlin-algorithm-club,,15
322,bmaslakov#kotlin-algorithm-club,.md,2
323,bmaslakov#kotlin-algorithm-club,.gradle,1
324,bmaslakov#kotlin-algorithm-club,.png,1
325,bmaslakov#kotlin-algorithm-club,.sample,12
326,bmaslakov#kotlin-algorithm-club,.idx,1
327,bmaslakov#kotlin-algorithm-club,.pack,1
328,bmaslakov#kotlin-algorithm-club,.properties,1
329,bmaslakov#kotlin-algorithm-club,.jar,1
330,bmaslakov#kotlin-algorithm-club,.kt,81
331,orchest#orchest,.json,51
332,orchest#orchest,.yaml,66
333,orchest#orchest,,67
334,orchest#orchest,.toml,1
335,orchest#orchest,.md,34
336,orchest#orchest,.js,9
337,orchest#orchest,.sh,33
338,orchest#orchest,.py,235
339,orchest#orchest,.cfg,1
340,orchest#orchest,.in,13
341,orchest#orchest,.txt,20
342,orchest#orchest,.ts,91
343,orchest#orchest,.orchest,5
344,orchest#orchest,.ipynb,9
345,orchest#orchest,.sample,12
346,orchest#orchest,.idx,1
347,orchest#orchest,.pack,1
348,orchest#orchest,.4,1
349,orchest#orchest,.png,40
350,orchest#orchest,.svg,11
351,orchest#orchest,.tsx,232
352,orchest#orchest,.mako,3
353,orchest#orchest,.ini,3
354,orchest#orchest,.html,4
355,orchest#orchest,.woff2,14
356,orchest#orchest,.scss,11
357,orchest#orchest,.conf,5
358,orchest#orchest,.sum,1
359,orchest#orchest,.mod,1
360,orchest#orchest,.go,62
361,orchest#orchest,.tpl,18
362,orchest#orchest,.gotmpl,1
363,orchest#orchest,.bat,1
364,orchest#orchest,.rst,20
365,orchest#orchest,.css,1
366,orchest#orchest,.yml,12
367,tzutalin#labelImg,.rst,5
368,tzutalin#labelImg,.py,28
369,tzutalin#labelImg,.cfg,1
370,tzutalin#labelImg,.qrc,1
371,tzutalin#labelImg,.yml,2
372,tzutalin#labelImg,,17
373,tzutalin#labelImg,.in,1
374,tzutalin#labelImg,.md,3
375,tzutalin#labelImg,.png,39
376,tzutalin#labelImg,.svg,6
377,tzutalin#labelImg,.icns,1
378,tzutalin#labelImg,.properties,4
379,tzutalin#labelImg,.jpg,3
380,tzutalin#labelImg,.sh,6
381,tzutalin#labelImg,.sample,12
382,tzutalin#labelImg,.pack,1
383,tzutalin#labelImg,.idx,1
384,tzutalin#labelImg,.txt,2
385,tzutalin#labelImg,.bmp,1
386,t-makaro#animatplot,.cfg,1
387,t-makaro#animatplot,.yml,3
388,t-makaro#animatplot,,16
389,t-makaro#animatplot,.md,1
390,t-makaro#animatplot,.py,22
391,t-makaro#animatplot,.sample,12
392,t-makaro#animatplot,.idx,1
393,t-makaro#animatplot,.pack,1
394,t-makaro#animatplot,.bat,1
395,t-makaro#animatplot,.txt,1
396,t-makaro#animatplot,.rst,9
397,t-makaro#animatplot,.gif,19
398,t-makaro#animatplot,.ipynb,13
399,t-makaro#animatplot,.png,43
400,vintasoftware#django-react-boilerplate,,26
401,vintasoftware#django-react-boilerplate,.json,2
402,vintasoftware#django-react-boilerplate,.yaml,2
403,vintasoftware#django-react-boilerplate,.in,2
404,vintasoftware#django-react-boilerplate,.js,29
405,vintasoftware#django-react-boilerplate,.md,6
406,vintasoftware#django-react-boilerplate,.txt,2
407,vintasoftware#django-react-boilerplate,.cfg,1
408,vintasoftware#django-react-boilerplate,.toml,1
409,vintasoftware#django-react-boilerplate,.yml,6
410,vintasoftware#django-react-boilerplate,.png,2
411,vintasoftware#django-react-boilerplate,.scss,15
412,vintasoftware#django-react-boilerplate,.snap,2
413,vintasoftware#django-react-boilerplate,.py,31
414,vintasoftware#django-react-boilerplate,.example,2
415,vintasoftware#django-react-boilerplate,.html,3
416,vintasoftware#django-react-boilerplate,.sample,12
417,vintasoftware#django-react-boilerplate,.pack,1
418,vintasoftware#django-react-boilerplate,.idx,1
419,open-cmdb#cmdb,.py,98
420,open-cmdb#cmdb,.pid,1
421,open-cmdb#cmdb,.md,2
422,open-cmdb#cmdb,,17
423,open-cmdb#cmdb,.log,8
424,open-cmdb#cmdb,.txt,6
425,open-cmdb#cmdb,.ini,2
426,open-cmdb#cmdb,.png,6
427,open-cmdb#cmdb,.pyc,117
428,open-cmdb#cmdb,.js,80
429,open-cmdb#cmdb,.xml,2
430,open-cmdb#cmdb,.back,3
431,open-cmdb#cmdb,.sql,1
432,open-cmdb#cmdb,.json,1
433,open-cmdb#cmdb,.sample,12
434,open-cmdb#cmdb,.pack,1
435,open-cmdb#cmdb,.idx,1
436,open-cmdb#cmdb,.html,1
437,open-cmdb#cmdb,.css,21
438,open-cmdb#cmdb,.woff,8
439,open-cmdb#cmdb,.svg,24
440,open-cmdb#cmdb,.map,42
441,open-cmdb#cmdb,.ttf,6
442,open-cmdb#cmdb,.woff2,4
443,open-cmdb#cmdb,.eot,5
444,open-cmdb#cmdb,.otf,1
445,open-cmdb#cmdb,.less,1
446,open-cmdb#cmdb,.ico,1
447,szymonmaszke#torchlambda,,96
448,szymonmaszke#torchlambda,.md,4
449,szymonmaszke#torchlambda,.in,1
450,szymonmaszke#torchlambda,.py,32
451,szymonmaszke#torchlambda,.sh,8
452,szymonmaszke#torchlambda,.png,2
453,szymonmaszke#torchlambda,.sample,12
454,szymonmaszke#torchlambda,.txt,1
455,szymonmaszke#torchlambda,.cpp,2
456,szymonmaszke#torchlambda,.yaml,1
457,szymonmaszke#torchlambda,.yml,1
458,translate#pootle,.yml,9
459,translate#pootle,.cfg,1
460,translate#pootle,.rst,95
461,translate#pootle,,60
462,translate#pootle,.py,925
463,translate#pootle,.in,1
464,translate#pootle,.json,6
465,translate#pootle,.txt,31
466,translate#pootle,.conf,12
467,translate#pootle,.template,3
468,translate#pootle,.po,357
469,translate#pootle,.pot,6
470,translate#pootle,.html,107
471,translate#pootle,.sh,6
472,translate#pootle,.css,23
473,translate#pootle,.sfd,1
474,translate#pootle,.woff,1
475,translate#pootle,.svg,3
476,translate#pootle,.gif,5
477,translate#pootle,.png,78
478,translate#pootle,.xml,1
479,translate#pootle,.ico,1
480,translate#pootle,.js,159
481,translate#pootle,.md,2
482,translate#pootle,.xliff,3
483,translate#pootle,.ts,3
484,translate#pootle,.sample,12
485,translate#pootle,.idx,1
486,translate#pootle,.pack,1
487,translate#pootle,.inc,1
488,translate#pootle,.bat,1
489,translate#pootle,.wsgi,1
490,translate#pootle,.ini,1
491,fbdesignpro#sweetviz,,86
492,fbdesignpro#sweetviz,.md,2
493,fbdesignpro#sweetviz,.in,1
494,fbdesignpro#sweetviz,.py,24
495,fbdesignpro#sweetviz,.ini,1
496,fbdesignpro#sweetviz,.ttf,1
497,fbdesignpro#sweetviz,.ttc,1
498,fbdesignpro#sweetviz,.txt,1
499,fbdesignpro#sweetviz,.html,14
500,fbdesignpro#sweetviz,.css,2
501,fbdesignpro#sweetviz,.js,3
502,fbdesignpro#sweetviz,.mplstyle,2
503,fbdesignpro#sweetviz,.sample,12
504,fbdesignpro#sweetviz,.PNG,1
505,fbdesignpro#sweetviz,.gif,1
506,fbdesignpro#sweetviz,.png,4
507,dadadel#pyment,,18
508,dadadel#pyment,.yml,3
509,dadadel#pyment,.cfg,1
510,dadadel#pyment,.py,39
511,dadadel#pyment,.patch,9
512,dadadel#pyment,.conf,1
513,dadadel#pyment,.rst,4
514,dadadel#pyment,.in,1
515,dadadel#pyment,.bat,1
516,dadadel#pyment,.html,6
517,dadadel#pyment,.inv,1
518,dadadel#pyment,.js,9
519,dadadel#pyment,.png,10
520,dadadel#pyment,.css,3
521,dadadel#pyment,.gif,1
522,dadadel#pyment,.txt,3
523,dadadel#pyment,.sample,12
524,dadadel#pyment,.idx,1
525,dadadel#pyment,.pack,1
526,dadadel#pyment,.expected,7
527,frankkramer-lab#covid19.MIScnn,,54
528,frankkramer-lab#covid19.MIScnn,.md,2
529,frankkramer-lab#covid19.MIScnn,.txt,1
530,frankkramer-lab#covid19.MIScnn,.py,18
531,frankkramer-lab#covid19.MIScnn,.R,2
532,frankkramer-lab#covid19.MIScnn,.sample,12
533,frankkramer-lab#covid19.MIScnn,.png,7
534,retentioneering#retentioneering-tools,.yml,2
535,retentioneering#retentioneering-tools,.md,3
536,retentioneering#retentioneering-tools,.in,1
537,retentioneering#retentioneering-tools,.py,39
538,retentioneering#retentioneering-tools,.txt,13
539,retentioneering#retentioneering-tools,,18
540,retentioneering#retentioneering-tools,.ipynb,27
541,retentioneering#retentioneering-tools,.sample,12
542,retentioneering#retentioneering-tools,.pack,1
543,retentioneering#retentioneering-tools,.idx,1
544,retentioneering#retentioneering-tools,.csv,2
545,retentioneering#retentioneering-tools,.js,15
546,retentioneering#retentioneering-tools,.bat,1
547,retentioneering#retentioneering-tools,.html,51
548,retentioneering#retentioneering-tools,.rst,12
549,retentioneering#retentioneering-tools,.png,26
550,retentioneering#retentioneering-tools,.svg,95
551,retentioneering#retentioneering-tools,.inv,1
552,retentioneering#retentioneering-tools,.css,4
553,retentioneering#retentioneering-tools,.woff2,22
554,retentioneering#retentioneering-tools,.ttf,8
555,retentioneering#retentioneering-tools,.eot,8
556,retentioneering#retentioneering-tools,.woff,22
557,retentioneering#retentioneering-tools,.otf,1
558,retentioneering#retentioneering-tools,.doctree,12
559,retentioneering#retentioneering-tools,.pickle,1
560,babybuddy#babybuddy,.json,6
561,babybuddy#babybuddy,.js,202
562,babybuddy#babybuddy,.yml,9
563,babybuddy#babybuddy,.txt,15
564,babybuddy#babybuddy,.png,45
565,babybuddy#babybuddy,,25
566,babybuddy#babybuddy,.yaml,1
567,babybuddy#babybuddy,.md,23
568,babybuddy#babybuddy,.py,146
569,babybuddy#babybuddy,.sh,1
570,babybuddy#babybuddy,.scss,12
571,babybuddy#babybuddy,.svg,59
572,babybuddy#babybuddy,.xml,3
573,babybuddy#babybuddy,.webmanifest,3
574,babybuddy#babybuddy,.ico,5
575,babybuddy#babybuddy,.html,108
576,babybuddy#babybuddy,.css,57
577,babybuddy#babybuddy,.ttf,7
578,babybuddy#babybuddy,.woff2,5
579,babybuddy#babybuddy,.woff,13
580,babybuddy#babybuddy,.eot,7
581,babybuddy#babybuddy,.conf,1
582,babybuddy#babybuddy,.sample,12
583,babybuddy#babybuddy,.pack,1
584,babybuddy#babybuddy,.idx,1
585,babybuddy#babybuddy,.csv,14
586,babybuddy#babybuddy,.po,13
587,babybuddy#babybuddy,.mo,13
588,babybuddy#babybuddy,.mp4,20
589,babybuddy#babybuddy,.gz,328
590,babybuddy#babybuddy,.2c54f4e1ca1c,1
591,scrtlabs#catalyst,,57
592,scrtlabs#catalyst,.cfg,1
593,scrtlabs#catalyst,.yml,5
594,scrtlabs#catalyst,.sh,16
595,scrtlabs#catalyst,.el,1
596,scrtlabs#catalyst,.rst,18
597,scrtlabs#catalyst,.in,1
598,scrtlabs#catalyst,.py,364
599,scrtlabs#catalyst,.md,3
600,scrtlabs#catalyst,.yaml,11
601,scrtlabs#catalyst,.bat,13
602,scrtlabs#catalyst,.txt,22
603,scrtlabs#catalyst,.sample,12
604,scrtlabs#catalyst,.pack,1
605,scrtlabs#catalyst,.idx,1
606,scrtlabs#catalyst,.cmd,1
607,scrtlabs#catalyst,.ps1,1
608,scrtlabs#catalyst,.ipynb,2
609,scrtlabs#catalyst,.png,2
610,scrtlabs#catalyst,.pyi,1
611,scrtlabs#catalyst,.pyx,16
612,scrtlabs#catalyst,.json,2
613,scrtlabs#catalyst,.csv,9
614,scrtlabs#catalyst,.pxi,1
615,scrtlabs#catalyst,.gz,13
616,sammchardy#python-kucoin,.cfg,1
617,sammchardy#python-kucoin,.yml,1
618,sammchardy#python-kucoin,.ini,1
619,sammchardy#python-kucoin,,52
620,sammchardy#python-kucoin,.rst,13
621,sammchardy#python-kucoin,.py,10
622,sammchardy#python-kucoin,.txt,2
623,sammchardy#python-kucoin,.sample,12
624,closedloop-ai#cv19index,.md,2
625,closedloop-ai#cv19index,.py,11
626,closedloop-ai#cv19index,,62
627,closedloop-ai#cv19index,.sh,1
628,closedloop-ai#cv19index,.pdf,1
629,closedloop-ai#cv19index,.csv,6
630,closedloop-ai#cv19index,.xlsx,2
631,closedloop-ai#cv19index,.txt,3
632,closedloop-ai#cv19index,.sample,12
633,closedloop-ai#cv19index,.json,4
634,closedloop-ai#cv19index,.pickle,2
635,closedloop-ai#cv19index,.p,1
636,closedloop-ai#cv19index,.png,1
637,mtianyan#FunpySpiderSearchEngine,.py,17
638,mtianyan#FunpySpiderSearchEngine,,64
639,mtianyan#FunpySpiderSearchEngine,.yml,1
640,mtianyan#FunpySpiderSearchEngine,.md,2
641,mtianyan#FunpySpiderSearchEngine,.cfg,1
642,mtianyan#FunpySpiderSearchEngine,.sql,1
643,mtianyan#FunpySpiderSearchEngine,.txt,5
644,mtianyan#FunpySpiderSearchEngine,.lock,1
645,mtianyan#FunpySpiderSearchEngine,.cookie,1
646,mtianyan#FunpySpiderSearchEngine,.sample,12
647,mtianyan#FunpySpiderSearchEngine,.csv,2
648,mtianyan#FunpySpiderSearchEngine,.model,2
649,milesial#Pytorch-UNet,.py,11
650,milesial#Pytorch-UNet,,44
651,milesial#Pytorch-UNet,.md,1
652,milesial#Pytorch-UNet,.txt,1
653,milesial#Pytorch-UNet,.sh,1
654,milesial#Pytorch-UNet,.sample,12
655,milesial#Pytorch-UNet,.yml,1
656,hack4impact#flask-base,.yml,4
657,hack4impact#flask-base,.py,22
658,hack4impact#flask-base,.md,19
659,hack4impact#flask-base,.txt,8
660,hack4impact#flask-base,.worker,1
